id,user_id,movie_id,rating,title
5237,1,125,3,"Never Talk to Strangers"
5264,1,215,3,"Private Function, A"
5537,1,6,5,"Red Dragon"
5559,1,104,1,Favor
5686,1,49,3,"Das Experiment (Experiment, The)"
5720,1,206,4,"Band Wagon, The"
5777,1,76,4,"Billy Elliot"
5846,1,72,4,"Space Pirate Captain Harlock: Arcadia of My Youth (Waga seishun no Arcadia)"
5913,1,185,4,"Helicopter String Quartet"
6032,1,96,5,"Murder in Coweta County"
6216,1,213,2,"Station Agent, The"
6238,1,233,2,"Twin Town"
6545,1,258,5,"In China They Eat Dogs (I Kina spiser de hunde)"
6571,1,81,5,"Battlestar Galactica: Blood & Chrome"
6653,1,78,1,"Trial of Joan of Arc, The (Procès de Jeanne d'Arc)"
6969,1,212,4,"Family Affair "
7105,1,143,1,"Stepfather II"
7162,1,151,4,"Three and Out (Deal Is a Deal, A)"
7184,1,51,4,"Brave One, The"
7565,1,175,5,"Earrings of Madame de..., The (Madame de...)"
7997,1,107,4,"Where Eagles Dare"
8601,1,218,3,"Chang: A Drama of the Wilderness"
8741,1,209,4,"The Butterfly Effect"
8749,1,259,1,"Cure for Love, A (Lekarstwo na milosc)"
8838,1,108,5,Frankenweenie
8848,1,262,3,"Boys from Brazil, The"
8980,1,12,5,"Kanak Attack"
9174,1,14,5,"Global Metal"
9228,1,97,3,"Verlorene, Der (Lost One, The)"
9259,1,44,5,"Sink the Bismark!"
9311,1,53,3,"Kilometre Zero (Kilomètre zéro)"
9386,1,163,4,"Kite Runner, The"
9570,1,210,4,"Evil Aliens"
9696,1,184,4,"Alice and Martin (Alice et Martin)"
9726,1,157,4,"Katalin Varga"
9815,1,201,3,"Scarecrow, The"
9975,1,150,5,"Budz House"
10211,1,183,5,"Across the Hall"
10484,1,248,4,"Abbott and Costello Meet the Keystone Kops"
10512,1,208,5,"Crossing Delancey"
10524,1,128,4,"Think Like a Man"
10926,1,242,5,"Johnny Was"
11084,1,148,2,"Neon Bible, The"
11158,1,112,1,"Vince Vaughn's Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland"
11325,1,193,4,Dreamgirls
11667,1,264,2,"South Central"
11811,1,219,1,"War Within, The"
11863,1,232,3,"Diario de un skin"
12015,1,236,4,"No Blade of Grass"
12187,1,252,2,"Bad News Bears Go to Japan, The"
12461,1,200,3,"The Beast of the City"
12520,1,180,3,"God's Sandbox (Tahara)"
12952,1,250,4,"I'm Crazy About Iris Blond"
13034,1,85,3,"Stockholm Stories"
13169,1,91,5,"Escape Plan"
13546,1,10,3,"Naughty Room, The"
13579,1,254,1,"7 Men from Now (Seven Men from Now)"
13642,1,129,5,"Welcome Home, Roscoe Jenkins"
14029,1,241,4,"Darjeeling Limited, The"
14083,1,130,3,"Fine Mess, A"
14429,1,255,2,"Plans for Tomorrow (Planes para mañana)"
14796,1,103,1,"Brain, The"
14934,1,118,3,"Rouva presidentti"
15274,1,54,3,"Stolen Summer"
15296,1,267,4,"Irina Palm"
15303,1,24,3,"Madame Curie"
15642,1,86,5,"Reggie Watts: Why Shit So Crazy?"
15768,1,196,5,"AVP: Alien vs. Predator"
15936,1,39,4,"T,O,U,C,H,I,N,G"
16057,1,164,3,"No Looking Back"
16318,1,230,4,"Lord of Tears"
16459,1,36,2,"Suspicious River"
16594,1,23,4,"Uncle Boonmee Who Can Recall His Past Lives (Loong Boonmee raleuk chat)"
16677,1,224,5,"Guyana Tragedy: The Story of Jim Jones"
16926,1,73,3,"Sinners and Saints"
17035,1,67,3,"It's All Gone Pete Tong"
17224,1,65,4,"Double Jeopardy"
17301,1,190,5,"Welcome to Sherwood! The Story of 'The Adventures of Robin Hood'"
17676,1,100,5,"To Die For"
17867,1,226,3,"Crossing Over"
17992,1,243,1,"9 1/2 Weeks (Nine 1/2 Weeks)"
18308,1,154,5,"Flaming Star"
18317,1,214,4,Assassination
18699,1,161,4,"Time and Tide (Seunlau Ngaklau)"
18800,1,62,3,Beastly
19614,1,188,3,"Death Note"
19703,1,102,2,Shattered
19726,1,69,3,"Ballad of Ramblin' Jack, The"
20000,1,170,5,"Shoot to Kill"
20157,1,38,3,Platoon
20179,1,9,5,"As Cool As I Am"
20474,1,246,5,"Rickshaw Man, The (Muhomatsu no issho)"
20956,1,22,4,"Photographer (Fotoamator)"
20974,1,21,1,"Under Suspicion"
21156,1,179,3,"A Pigeon Sat on a Branch Reflecting on Existence"
21630,1,187,4,"My Dog Skip"
21951,1,135,4,"This is Our Time"
22500,1,68,4,Testament
22673,1,146,4,"Frenchmen (Le coeur des hommes)"
22849,1,176,5,"Ricky Gervais Live 3: Fame"
22975,1,166,5,Innocence
23032,1,138,1,Arsenal
23099,1,247,1,"The Natural Love"
23132,1,89,5,"Hole in the Soul, A (Rupa u dusi)"
23175,1,2,3,"Oranges and Sunshine"
24497,1,30,3,"Bad Seed, The"
24551,1,63,2,"Strange Circus (Kimyô na sâkasu)"
24900,1,249,4,"Munger Road"
25142,1,269,5,Wolves
25259,1,32,5,"In the Midst of Life (Au coeur de la vie)"
25725,1,141,3,"History of Postwar Japan as Told by a Bar Hostess (Nippon Sengoshi - Madamu onboro no Seikatsu)"
26691,1,211,3,"No Time For Sergeants"
26978,1,40,3,"Here Without Me (Inja bedoone man)"
27220,1,270,5,Detention
27239,1,133,4,"Mouth to Mouth (Boca a boca)"
27953,1,239,4,"Too Early, Too Late (Trop tôt, trop tard)"
28434,1,194,4,"The Imitation Game"
30483,1,256,4,"Up the Yangtze"
31247,1,220,3,"Valley of the Dolls"
31380,1,93,5,Strangeland
31654,1,8,1,"Few Best Men, A"
31746,1,205,3,"My Friends (Amici miei)"
31860,1,234,4,"Harry Potter and the Order of the Phoenix"
31995,1,105,2,"Singapore Sling (Singapore sling: O anthropos pou agapise ena ptoma)"
32019,1,147,3,Notorious
32155,1,99,3,Golem
32240,1,1,5,Breakin'
33913,1,197,5,"Times of Harvey Milk, The"
34030,1,173,5,"Swann in Love (Un amour de Swann)"
34169,1,75,4,"Small Back Room, The"
34554,1,268,5,"Crime and Punishment in Suburbia"
34646,1,34,2,"Under the Skin of the City (Zir-e-poost-e Shahr)"
35393,1,144,4,"Back Soon"
35413,1,271,2,Explorers
36848,1,119,5,"Holy Land, The"
36882,1,26,3,"Already Dead"
37814,1,158,3,"Bitch, The (La chienne)"
37824,1,37,2,"Still Breathing"
38197,1,181,5,"Bubble Boy"
38701,1,136,3,"Misérables, Les"
38755,1,257,4,"Bridge of Dragons"
39300,1,237,2,"Castaway Cowboy, The"
39869,1,131,1,"Women of the Night (Yoru no onnatachi)"
40523,1,109,5,"Sweet Karma"
40604,1,182,4,"Mean Streets"
40760,1,71,3,"Alien Contamination"
40787,1,223,5,Ruins
41846,1,46,4,"Lightning in a Bottle"
42460,1,169,5,"Decision Before Dawn"
43267,1,41,2,"Saving Face"
43284,1,162,4,"The Casino Murder Case"
43442,1,110,1,"Bring on the Night"
43863,1,66,4,"Apparition, The"
44078,1,77,4,"Last Days in the Desert"
45487,1,199,4,"Wet Parade, The"
45736,1,57,5,Earth
45800,1,50,5,"Return to Salem's Lot, A"
47525,1,192,4,"Stranger Within, The"
47543,1,178,5,"Office Killer"
47642,1,5,3,"Marva Collins Story, The"
47864,1,87,5,"Major Dundee"
48082,1,238,4,"Escobar: Paradise Lost"
48218,1,156,4,"Best of the Badmen"
49857,1,106,4,"Puss in Boots"
50030,1,167,2,"Warm December, A"
50160,1,115,5,"Ticked-Off Trannies with Knives"
50740,1,11,2,"Green Card"
50796,1,245,2,"Lights Out"
51299,1,35,1,"The Last Round"
51620,1,137,5,"The Trip to Squash Land"
53556,1,127,5,"Battle of Shaker Heights, The"
54638,1,16,5,"Trailer Park Boys: The Movie"
55005,1,79,4,"Farewell, The (Abschied - Brechts letzter Sommer)"
55640,1,261,1,"Rubber Johnny"
56071,1,45,5,"Godson, The"
56316,1,48,5,"Winter Guest, The"
56885,1,25,4,"Big Combo, The"
57260,1,251,4,Sabotage
57427,1,195,5,Murderball
58381,1,153,3,"Children of a Lesser God"
59059,1,101,2,"The Hire: Follow, The"
59976,1,168,5,"Legend of Drunken Master, The (Jui kuen II)"
60930,1,123,4,"Fuck You, Goethe (Fack Ju Göhte)"
62073,1,191,5,"School Daze"
62635,1,4,3,Expelled
62653,1,263,1,Scandal
62824,1,203,4,"West Side Story"
66571,1,55,5,Zelig
67083,1,42,5,"Revenge of the Pink Panther"
67102,1,139,3,"Hunted, The"
70172,1,240,3,"Superstar: The Karen Carpenter Story"
70543,1,7,4,"Belizaire the Cajun"
73362,1,149,2,"Angel Face"
73976,1,43,4,"Last Sunset, The"
74581,1,165,5,"Morning Glory"
74851,1,116,3,"Pippi in the South Seas (Pippi Långstrump på de sju haven)"
75389,1,198,5,"Sovereign's Company"
77077,1,124,5,"Stranger on the Third Floor"
77242,1,95,4,"Promoter, The (Card, The)"
77634,1,217,3,"Cast A Deadly Spell"
78175,1,58,4,"Richard Pryor: Live in Concert"
78699,1,142,2,"New Leaf, A"
78821,1,216,5,"This Film Is Not Yet Rated"
81467,1,126,2,"Get Shorty"
81572,1,83,3,"American Grindhouse"
82448,1,231,1,"Onmyoji (Onmyoji: The Yin Yang Master)"
82790,1,204,5,"American Gothic"
83311,1,3,4,"Hell Town (Born to the West)"
84797,1,207,5,"Hunchback of Notre Dame, The"
85381,1,244,2,"Low Life"
85561,1,19,5,"Reflections in a Golden Eye"
86589,1,29,1,Catfish
87835,1,18,4,"U.S. Marshals"
87971,1,59,5,"Three Smart Girls Grow Up"
88025,1,15,5,"Curse, The (a.k.a. The Farm)"
88263,1,111,5,"DMT: The Spirit Molecule"
88266,1,52,4,"Yes Or No"
88897,1,88,4,"You Are God (Jestes Bogiem)"
89880,1,13,5,"Birth of a Nation, The"
92053,1,28,4,"Missing Picture, The (L'image manquante)"
92491,1,172,5,"Pretty Woman"
94023,1,122,3,"Match King, The"
96703,1,152,5,"William Shakespeare's A Midsummer Night's Dream"
99077,1,94,2,"Tales from Earthsea (Gedo Senki)"
